year,ncessch,school_name,state_location,grade_crdc,enrl_algebra1,students_passing_algebra1
"2017","062271007762","Alfonso B. Perez Special Education Center","CA","Grades 9 and 10","",""
"2017","062271007762","Alfonso B. Perez Special Education Center","CA","Grades 11 and 12","",""
"2017","062271007762","Alfonso B. Perez Special Education Center","CA","Total","",""
"2017","060015310929","Alhambra High","CA","Grades 7 and 8","",""
"2017","060015310929","Alhambra High","CA","Grades 9 and 10","584","501"
"2017","060015310929","Alhambra High","CA","Grades 11 and 12","30","0"
"2017","060015310929","Alhambra High","CA","Total","614","501"
"2017","062403003612","Alhambra Senior High","CA","Grades 7 and 8","",""
"2017","062403003612","Alhambra Senior High","CA","Grades 9 and 10","376","305"
"2017","062403003612","Alhambra Senior High","CA","Grades 11 and 12","41","30"
"2017","062403003612","Alhambra Senior High","CA","Total","417","335"
"2017","063398005332","Alisal High","CA","Grades 7 and 8","",""
"2017","063398005332","Alisal High","CA","Grades 9 and 10","1027","837"
"2017","063398005332","Alisal High","CA","Grades 11 and 12","132","105"
"2017","063398005332","Alisal High","CA","Total","1159","942"
"2017","060744002328","Aliso Niguel High","CA","Grades 7 and 8","",""
"2017","060744002328","Aliso Niguel High","CA","Grades 9 and 10","661","538"
"2017","060744002328","Aliso Niguel High","CA","Grades 11 and 12","20","20"
"2017","060744002328","Aliso Niguel High","CA","Total","681","558"
"2017","060004210387","All Tribes Charter","CA","Grades 7 and 8","1","3"
"2017","060004210387","All Tribes Charter","CA","Grades 9 and 10","36","6"
"2017","060004210387","All Tribes Charter","CA","Grades 11 and 12","21","12"
"2017","060004210387","All Tribes Charter","CA","Total","58","21"
"2017","062271013857","Alliance 6-12 College-Ready Academy 21","CA","Grades 7 and 8","4","4"
"2017","062271013857","Alliance 6-12 College-Ready Academy 21","CA","Grades 9 and 10","63","28"
"2017","062271013857","Alliance 6-12 College-Ready Academy 21","CA","Grades 11 and 12","0","0"
"2017","062271013857","Alliance 6-12 College-Ready Academy 21","CA","Total","67","32"
"2017","062271013099","Alliance Alice M. Baxter College-Ready High","CA","Grades 7 and 8","",""
"2017","062271013099","Alliance Alice M. Baxter College-Ready High","CA","Grades 9 and 10","113","68"
"2017","062271013099","Alliance Alice M. Baxter College-Ready High","CA","Grades 11 and 12","3","1"
"2017","062271013099","Alliance Alice M. Baxter College-Ready High","CA","Total","116","69"
"2017","062271012567","Alliance Cindy and Bill Simon Technology Academy High","CA","Grades 7 and 8","",""
"2017","062271012567","Alliance Cindy and Bill Simon Technology Academy High","CA","Grades 9 and 10","157","118"
"2017","062271012567","Alliance Cindy and Bill Simon Technology Academy High","CA","Grades 11 and 12","0","0"
"2017","062271012567","Alliance Cindy and Bill Simon Technology Academy High","CA","Total","157","118"
"2017","062271010871","Alliance Collins Family College-Ready High","CA","Grades 7 and 8","",""
"2017","062271010871","Alliance Collins Family College-Ready High","CA","Grades 9 and 10","149","122"
"2017","062271010871","Alliance Collins Family College-Ready High","CA","Grades 11 and 12","0","0"
"2017","062271010871","Alliance Collins Family College-Ready High","CA","Total","149","122"
"2017","062271011633","Alliance Dr. Olga Mohan High","CA","Grades 7 and 8","",""
"2017","062271011633","Alliance Dr. Olga Mohan High","CA","Grades 9 and 10","100","0"
"2017","062271011633","Alliance Dr. Olga Mohan High","CA","Grades 11 and 12","0","0"
"2017","062271011633","Alliance Dr. Olga Mohan High","CA","Total","100","0"
"2017","062271010851","Alliance Gertz-Ressler Richard Merkin 6-12 Complex","CA","Grades 7 and 8","31","31"
"2017","062271010851","Alliance Gertz-Ressler Richard Merkin 6-12 Complex","CA","Grades 9 and 10","141","104"
"2017","062271010851","Alliance Gertz-Ressler Richard Merkin 6-12 Complex","CA","Grades 11 and 12","13","9"
"2017","062271010851","Alliance Gertz-Ressler Richard Merkin 6-12 Complex","CA","Total","185","144"
"2017","062271010867","Alliance Judy Ivie Burton Technology Academy High","CA","Grades 7 and 8","",""
"2017","062271010867","Alliance Judy Ivie Burton Technology Academy High","CA","Grades 9 and 10","162","126"
"2017","062271010867","Alliance Judy Ivie Burton Technology Academy High","CA","Grades 11 and 12","0","0"
"2017","062271010867","Alliance Judy Ivie Burton Technology Academy High","CA","Total","162","126"
"2017","062271012342","Alliance Leichtman-Levine Family Foundation Env Sci High","CA","Grades 7 and 8","",""
"2017","062271012342","Alliance Leichtman-Levine Family Foundation Env Sci High","CA","Grades 9 and 10","121","105"
"2017","062271012342","Alliance Leichtman-Levine Family Foundation Env Sci High","CA","Grades 11 and 12","0","0"
"2017","062271012342","Alliance Leichtman-Levine Family Foundation Env Sci High","CA","Total","121","105"
"2017","062271011642","Alliance Marc & Eva Stern Math and Science","CA","Grades 7 and 8","",""
"2017","062271011642","Alliance Marc & Eva Stern Math and Science","CA","Grades 9 and 10","148","116"
"2017","062271011642","Alliance Marc & Eva Stern Math and Science","CA","Grades 11 and 12","8","7"
"2017","062271011642","Alliance Marc & Eva Stern Math and Science","CA","Total","156","123"
"2017","062271012924","Alliance Margaret M. Bloomfield Technology Academy High","CA","Grades 7 and 8","",""
"2017","062271012924","Alliance Margaret M. Bloomfield Technology Academy High","CA","Grades 9 and 10","141","135"
"2017","062271012924","Alliance Margaret M. Bloomfield Technology Academy High","CA","Grades 11 and 12","0","0"
"2017","062271012924","Alliance Margaret M. Bloomfield Technology Academy High","CA","Total","141","135"
"2017","062271012259","Alliance Morgan McKinzie High","CA","Grades 7 and 8","",""
"2017","062271012259","Alliance Morgan McKinzie High","CA","Grades 9 and 10","99","80"
"2017","062271012259","Alliance Morgan McKinzie High","CA","Grades 11 and 12","0","0"
"2017","062271012259","Alliance Morgan McKinzie High","CA","Total","99","80"
"2017","062271011641","Alliance Ouchi-ODonovan 6-12 Complex","CA","Grades 7 and 8","30","30"
"2017","062271011641","Alliance Ouchi-ODonovan 6-12 Complex","CA","Grades 9 and 10","121","92"
"2017","062271011641","Alliance Ouchi-ODonovan 6-12 Complex","CA","Grades 11 and 12","0","0"
"2017","062271011641","Alliance Ouchi-ODonovan 6-12 Complex","CA","Total","151","122"
"2017","062271011632","Alliance Patti And Peter Neuwirth Leadership Academy","CA","Grades 7 and 8","",""
"2017","062271011632","Alliance Patti And Peter Neuwirth Leadership Academy","CA","Grades 9 and 10","150","138"
"2017","062271011632","Alliance Patti And Peter Neuwirth Leadership Academy","CA","Grades 11 and 12","2","2"
"2017","062271011632","Alliance Patti And Peter Neuwirth Leadership Academy","CA","Total","152","140"
"2017","062271012378","Alliance Piera Barabaglia Shaheen Health Services Academy","CA","Grades 7 and 8","",""
"2017","062271012378","Alliance Piera Barabaglia Shaheen Health Services Academy","CA","Grades 9 and 10","137","67"
"2017","062271012378","Alliance Piera Barabaglia Shaheen Health Services Academy","CA","Grades 11 and 12","5","4"
"2017","062271012378","Alliance Piera Barabaglia Shaheen Health Services Academy","CA","Total","142","71"
"2017","062271012848","Alliance Renee and Meyer Luskin Academy High","CA","Grades 7 and 8","",""
"2017","062271012848","Alliance Renee and Meyer Luskin Academy High","CA","Grades 9 and 10","174","94"
"2017","062271012848","Alliance Renee and Meyer Luskin Academy High","CA","Grades 11 and 12","3","2"
"2017","062271012848","Alliance Renee and Meyer Luskin Academy High","CA","Total","177","96"
"2017","062271012817","Alliance Susan and Eric Smidt Technology High","CA","Grades 7 and 8","",""
"2017","062271012817","Alliance Susan and Eric Smidt Technology High","CA","Grades 9 and 10","156","149"
"2017","062271012817","Alliance Susan and Eric Smidt Technology High","CA","Grades 11 and 12","0","0"
"2017","062271012817","Alliance Susan and Eric Smidt Technology High","CA","Total","156","149"
"2017","062271012766","Alliance Ted K. Tajima High","CA","Grades 7 and 8","",""
"2017","062271012766","Alliance Ted K. Tajima High","CA","Grades 9 and 10","106","95"
"2017","062271012766","Alliance Ted K. Tajima High","CA","Grades 11 and 12","3","3"
"2017","062271012766","Alliance Ted K. Tajima High","CA","Total","109","98"
"2017","062271012572","Alliance Tennenbaum Family Technology High","CA","Grades 7 and 8","",""
"2017","062271012572","Alliance Tennenbaum Family Technology High","CA","Grades 9 and 10","64","61"
"2017","062271012572","Alliance Tennenbaum Family Technology High","CA","Grades 11 and 12","2","2"
"2017","062271012572","Alliance Tennenbaum Family Technology High","CA","Total","66","63"
"2017","060780012607","Alma Preschool","CA","Grades 7 and 8","",""
"2017","060780012607","Alma Preschool","CA","Grades 9 and 10","",""
"2017","060780012607","Alma Preschool","CA","Grades 11 and 12","",""
"2017","060780012607","Alma Preschool","CA","Total","",""
"2017","063117007824","Almanor High (Continuation)","CA","Grades 7 and 8","",""
"2017","063117007824","Almanor High (Continuation)","CA","Grades 9 and 10","0","0"
"2017","063117007824","Almanor High (Continuation)","CA","Grades 11 and 12","",""
"2017","063117007824","Almanor High (Continuation)","CA","Total","0","0"
"2017","060201000088","Alpaugh Junior-Senior High","CA","Grades 7 and 8","18","14"
"2017","060201000088","Alpaugh Junior-Senior High","CA","Grades 9 and 10","21","13"
"2017","060201000088","Alpaugh Junior-Senior High","CA","Grades 11 and 12","2","1"
"2017","060201000088","Alpaugh Junior-Senior High","CA","Total","41","28"
"2017","061260013554","Alpha Charter","CA","Grades 7 and 8","",""
"2017","061260013554","Alpha Charter","CA","Grades 9 and 10","16","16"
"2017","061260013554","Alpha Charter","CA","Grades 11 and 12","4","4"
"2017","061260013554","Alpha Charter","CA","Total","20","20"
"2017","061182013926","Alpha Cindy Avitia High","CA","Grades 7 and 8","",""
"2017","061182013926","Alpha Cindy Avitia High","CA","Grades 9 and 10","171","124"
"2017","061182013926","Alpha Cindy Avitia High","CA","Grades 11 and 12","0","0"
"2017","061182013926","Alpha Cindy Avitia High","CA","Total","171","124"
"2017","060133106604","Alps View High (Continuation)","CA","Grades 7 and 8","",""
"2017","060133106604","Alps View High (Continuation)","CA","Grades 9 and 10","",""
"2017","060133106604","Alps View High (Continuation)","CA","Grades 11 and 12","",""
"2017","060133106604","Alps View High (Continuation)","CA","Total","",""
"2017","060816000790","Alta Loma High","CA","Grades 7 and 8","",""
"2017","060816000790","Alta Loma High","CA","Grades 9 and 10","510","369"
"2017","060816000790","Alta Loma High","CA","Grades 11 and 12","10","3"
"2017","060816000790","Alta Loma High","CA","Total","520","372"
"2017","063864010385","Alta Vista Academy","CA","Grades 7 and 8","",""
"2017","063864010385","Alta Vista Academy","CA","Grades 9 and 10","6","2"
"2017","063864010385","Alta Vista Academy","CA","Grades 11 and 12","1","0"
"2017","063864010385","Alta Vista Academy","CA","Total","7","2"
"2017","060141412435","Alta Vista Alternative High","CA","Grades 7 and 8","",""
"2017","060141412435","Alta Vista Alternative High","CA","Grades 9 and 10","12","4"
"2017","060141412435","Alta Vista Alternative High","CA","Grades 11 and 12","9","0"
"2017","060141412435","Alta Vista Alternative High","CA","Total","21","4"
"2017","064119006812","Alta Vista High (Continuation)","CA","Grades 7 and 8","",""
"2017","064119006812","Alta Vista High (Continuation)","CA","Grades 9 and 10","5","0"
"2017","064119006812","Alta Vista High (Continuation)","CA","Grades 11 and 12","20","4"
"2017","064119006812","Alta Vista High (Continuation)","CA","Total","25","4"
"2017","062631003931","Alta Vista High","CA","Grades 7 and 8","",""
"2017","062631003931","Alta Vista High","CA","Grades 9 and 10","4","2"
"2017","062631003931","Alta Vista High","CA","Grades 11 and 12","1","1"
"2017","062631003931","Alta Vista High","CA","Total","5","3"
"2017","060001514154","Alta Vista Innovation High","CA","Grades 7 and 8","",""
"2017","060001514154","Alta Vista Innovation High","CA","Grades 9 and 10","",""
"2017","060001514154","Alta Vista Innovation High","CA","Grades 11 and 12","",""
"2017","060001514154","Alta Vista Innovation High","CA","Total","",""
"2017","061686013808","Alta Vista South Public Charter","CA","Grades 7 and 8","",""
"2017","061686013808","Alta Vista South Public Charter","CA","Grades 9 and 10","",""
"2017","061686013808","Alta Vista South Public Charter","CA","Grades 11 and 12","",""
"2017","061686013808","Alta Vista South Public Charter","CA","Total","",""
"2017","068450009467","Alternative Education-San Joaquin High","CA","Grades 7 and 8","",""
"2017","068450009467","Alternative Education-San Joaquin High","CA","Grades 9 and 10","5","4"
"2017","068450009467","Alternative Education-San Joaquin High","CA","Grades 11 and 12","0","0"
"2017","068450009467","Alternative Education-San Joaquin High","CA","Total","5","4"
"2017","063560007437","Alternative Family Education","CA","Grades 7 and 8","",""
"2017","063560007437","Alternative Family Education","CA","Grades 9 and 10","",""
